/以下全部来自互联网，所有内容仅供测试使用，请勿用于违法用途，如有冒犯请联系删除。

//永久免费꙰严禁商业꙰仅供测试꙰违者自负!꙰//       

//来源网络，免费分享，请勿追究，谢谢！//

祝大家马年大吉,#genre#

打赏才能长久,https://d6.qyshare.store/s/TBVWTxUNFQ9SVlIPBFMOGgZSVVQaKFCVA50wBUDxoPKFCVA50Q4PGlNVKFCVA50KFCVA508PBKFCVA508GU1VSVBUbFVhERH9YREMVDRVYREQZRk5CWRlYRVKFCVA50VGxVYRER8Uk4VDRVCR1tYVlMYBQcFKFCVA50RgHBRgFKFCVA50xgBBQcED1IFBBoKFCVA50KFCVA50QQOGgMFBgcaVgcGBBoPVQVTKFCVA50FMBVFYPKFCVA50QYZVV5ZFRsVVlQVDRUPVKFCVA50EGBlVWUhpTKFCVA50QKFCVA50BGgNVDgYaVVFVBxoDBQRTVQ8DKFCVA50Q4OKFCVA50gcVGxVZVlpSFQ0VBdGrvwYG0aCSGVpHKFCVA50xUbFVRYWUNSWUNjTkdSFQ0VQV5TUlgYWkcDFRsVVlMVDRVWD1YBKFCVA50g5RKFCVA50hpTBFZUGgMFBwQaDw8KFCVA50VRoCB1ZUKFCVA50lMGVgdRKFCVA501UVSg==
打赏才能长久,https://i.uik.cc/view.php/8d9d37a2fc11480442b8fd8b2fd70ace.mp4
最新野草52AA,https://d6.qyshare.store/s/TBVWTxUNFQ9SVlIPBFMOGgZSVVQaKFCVA50wBUDxoPKFCVA50Q4PGlNVKFCVA50KFCVA508PBKFCVA508GU1VSVBUbFVhERH9YREMVDRVYREQZRk5CWRlYRVKFCVA50VGxVYRER8Uk4VDRVCR1tYVlMYBQcFKFCVA50RgHBRgFKFCVA50xgBBQcED1IFBBoKFCVA50KFCVA50QQOGgMFBgcaVgcGBBoPVQVTKFCVA50FMBVFYPKFCVA50QYZVV5ZFRsVVlQVDRUPVKFCVA50EGBlVWUhpTKFCVA50QKFCVA50BGgNVDgYaVVFVBxoDBQRTVQ8DKFCVA50Q4OKFCVA50gcVGxVZVlpSFQ0VBdGrvwYG0aCSGVpHKFCVA50xUbFVRYWUNSWUNjTkdSFQ0VQV5TUlgYWkcDFRsVVlMVDRVWD1YBKFCVA50g5RKFCVA50hpTBFZUGgMFBwQaDw8KFCVA50VRoCB1ZUKFCVA50lMGVgdRKFCVA501UVSg==
K歌软件购买加YXMV525,https://i.uik.cc/view.php/2b0238dc0d48dfccfb405acecd571de3.mp4
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
打赏留言加频道,https://cccimg.com/view.php/2f48310f470cb518da48a939728d75d5.mp4
🎶点歌台频道,https://live.iill.top/douyu/85894
🎶周杰伦MV,https://live.iill.top/douyu/122402
🎵音乐台长,http://www.douzhicloud.site:35455/douyu/9629943
❤️4K视频,http://xjj1.716888.xyz/fenlei/4k/4k.php
❥抖音女神,https://api.e1e1.top/crosswise/cw.php
❥韩国舞曲,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0
❥法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
环球直播,https://live.iill.top/douyu/9036111
觉得好用,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
请打赏观看,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
武汉移动,#genre#
马年发大财,https://i.uik.cc/view.php/8d9d37a2fc11480442b8fd8b2fd70ace.mp4
赞赏长久使用,https://d6.qyshare.store/s/TBVWTxUNFQ9SVlIPBFMOGgZSVVQaKFCVA50wBUDxoPKFCVA50Q4PGlNVKFCVA50KFCVA508PBKFCVA508GU1VSVBUbFVhERH9YREMVDRVYREQZRk5CWRlYRVKFCVA50VGxVYRER8Uk4VDRVCR1tYVlMYBQcFKFCVA50RgHBRgFKFCVA50xgBBQcED1IFBBoKFCVA50KFCVA50QQOGgMFBgcaVgcGBBoPVQVTKFCVA50FMBVFYPKFCVA50QYZVV5ZFRsVVlQVDRUPVKFCVA50EGBlVWUhpTKFCVA50QKFCVA50BGgNVDgYaVVFVBxoDBQRTVQ8DKFCVA50Q4OKFCVA50gcVGxVZVlpSFQ0VBdGrvwYG0aCSGVpHKFCVA50xUbFVRYWUNSWUNjTkdSFQ0VQV5TUlgYWkcDFRsVVlMVDRVWD1YBKFCVA50g5RKFCVA50hpTBFZUGgMFBwQaDw8KFCVA50VRoCB1ZUKFCVA50lMGVgdRKFCVA501UVSg==
CCTV1,https://xmlive.zeabur.app/yw/whyd?id=cctv1
CCTV2,https://xmlive.zeabur.app/yw/whyd?id=cctv2
CCTV3,https://xmlive.zeabur.app/yw/whyd?id=cctv3
CCTV4,https://xmlive.zeabur.app/yw/whyd?id=cctv4
CCTV5,https://xmlive.zeabur.app/yw/whyd?id=cctv5
CCTV5+,https://xmlive.zeabur.app/yw/whyd?id=cctv5p
CCTV6,https://xmlive.zeabur.app/yw/whyd?id=cctv6
CCTV7,https://xmlive.zeabur.app/yw/whyd?id=cctv7
CCTV8,https://xmlive.zeabur.app/yw/whyd?id=cctv8
CCTV9,https://xmlive.zeabur.app/yw/whyd?id=cctv9
CCTV10,https://xmlive.zeabur.app/yw/whyd?id=cctv10
CCTV11,https://xmlive.zeabur.app/yw/whyd?id=cctv11
CCTV12,https://xmlive.zeabur.app/yw/whyd?id=cctv12
CCTV13,https://xmlive.zeabur.app/yw/whyd?id=cctv13
CCTV14,https://xmlive.zeabur.app/yw/whyd?id=cctv14
CCTV15,https://xmlive.zeabur.app/yw/whyd?id=cctv15
CCTV17,https://xmlive.zeabur.app/yw/whyd?id=cctv17
CCTV世界地理,https://xmlive.zeabur.app/yw/whyd?id=custom11
CCTV高尔夫网球,https://xmlive.zeabur.app/yw/whyd?id=custom10
北京卫视,https://xmlive.zeabur.app/yw/whyd?id=bjws
天津卫视,https://xmlive.zeabur.app/yw/whyd?id=tjws
重庆卫视,https://xmlive.zeabur.app/yw/whyd?id=cqws
黑龙江卫视,https://xmlive.zeabur.app/yw/whyd?id=hljws
吉林卫视,https://xmlive.zeabur.app/yw/whyd?id=jlws
辽宁卫视,https://xmlive.zeabur.app/yw/whyd?id=lnws
内蒙古卫视,https://xmlive.zeabur.app/yw/whyd?id=neimenggu
宁夏卫视,https://xmlive.zeabur.app/yw/whyd?id=linxws
甘肃卫视,https://xmlive.zeabur.app/yw/whyd?id=gsws
青海卫视,https://xmlive.zeabur.app/yw/whyd?id=qhws
陕西卫视,https://xmlive.zeabur.app/yw/whyd?id=shxws
河北卫视,https://xmlive.zeabur.app/yw/whyd?id=hebeiws
山西卫视,https://xmlive.zeabur.app/yw/whyd?id=sxws
山东卫视,https://xmlive.zeabur.app/yw/whyd?id=sdws
安徽卫视,https://xmlive.zeabur.app/yw/whyd?id=ahws
河南卫视,https://xmlive.zeabur.app/yw/whyd?id=hnws
湖北卫视,https://xmlive.zeabur.app/yw/whyd?id=hbws
湖南卫视,https://xmlive.zeabur.app/yw/whyd?id=hunanws
江西卫视,https://xmlive.zeabur.app/yw/whyd?id=jxws
江苏卫视,https://xmlive.zeabur.app/yw/whyd?id=jsws
浙江卫视,https://xmlive.zeabur.app/yw/whyd?id=zjws
东南卫视,https://xmlive.zeabur.app/yw/whyd?id=dnws
厦门卫视,https://xmlive.zeabur.app/yw/whyd?id=xmws
广东卫视,https://xmlive.zeabur.app/yw/whyd?id=gdws
深圳卫视,https://xmlive.zeabur.app/yw/whyd?id=szws
广西卫视,https://xmlive.zeabur.app/yw/whyd?id=gxws
云南卫视,https://xmlive.zeabur.app/yw/whyd?id=ynws
贵州卫视,https://xmlive.zeabur.app/yw/whyd?id=gzws
四川卫视,https://xmlive.zeabur.app/yw/whyd?id=scws
新疆卫视,https://xmlive.zeabur.app/yw/whyd?id=xjws
兵团卫视,https://xmlive.zeabur.app/yw/whyd?id=custom1
西藏卫视,https://xmlive.zeabur.app/yw/whyd?id=xzws
海南卫视,https://xmlive.zeabur.app/yw/whyd?id=custom12


全网通频道,#group#
📀
央卫一套,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
